,IL2,IL18,IL4,IL7,IL27,IFNA2,FLT3LG,CXCL12,CCL4,IL5,LIF,CXCL1,CD40LG,CCL2,IL13,CCL5,IL3,IL10,IL6,CCL24,IL17A,CSF1,CCL13,CCL11,TNF,CXCL13,CSF3,IL12B,IL31,CCL27,IL22,IL20,FASLG,TNFSF10,IL17F,TGFA,CCL7,CCL3,TGFB1,CCL8,IFNB1,CXCL8,IL1B,CXCL9,IL9,CXCL5,CCL1,IL1A,CSF2,HGF,IL23A,CXCL10,IFNG,EGF,IL21
IL2,1.0,0.339339372172488,0.35488444995985086,0.49998539188102076,0.9090909090909091,-0.10427350427350428,0.5714285714285714,0.16519087872067537,0.31271565536620455,0.4668758614550637,0.4752316077276559,0.3068112013066518,0.22744317154133253,0.3518968611708199,0.3919903972441529,0.22362299033716748,0.5,0.06482995625532476,0.1475282482154415,0.42657342657342656,0.5193996392818604,0.23045347922827294,0.3575757575757576,0.29346059303815214,0.3858398226233596,-0.296969696969697,0.3612001368916529,0.40035830398000516,-0.0404982192883221,-0.4,0.38423807307113556,0.6666666666666666,0.3017169281531921,0.4666636212958678,0.18875482446139746,0.08666411514661898,0.516717494029223,0.38461959446320715,0.40253959487640617,-0.7482517482517482,0.3654918916721412,0.16415862090991856,0.41759794103698744,0.2681219410943302,-0.1190120916908791,0.1606109587949558,-0.1888111888111888,0.5419652664646223,0.27833415202214756,0.13837552828031524,0.12556451631189222,0.44145053831857084,0.4714644576781665,-0.1911847441468439,0.1925976832810399
IL18,0.339339372172488,1.0,0.34181717143651014,0.2205128205128205,0.425891181988743,0.0,0.0,0.07825091575091575,0.2180161943319838,0.3895161290322581,0.2374213045325973,0.2010605513017437,0.48727918586789554,0.35453296703296705,0.34061624649859945,-0.04366258741258741,0.0,0.6200980392156863,0.37204372473453917,0.0,0.21637630662020907,0.0719495320721219,0.0,0.23452797202797201,0.4604895104895105,0.0,0.28456959706959706,0.5001365836900799,-0.03649903797035014,0.0,0.40192307692307694,0.0,0.10115957817878521,0.00853658536585366,0.17388626955165828,0.37943548387096776,0.3505079825834543,0.5900452488687783,0.2416988416988417,0.0,0.11444169497843702,-0.042055105535000595,0.7107142857142857,0.20249125874125873,0.013138192230779163,-0.05690683801267096,0.0,0.3,0.1893814997263273,0.3768472906403941,-0.12578043905664105,0.363509216687092,0.5566931457188279,0.08831591832775984,-0.006822969164981741
IL4,0.35488444995985086,0.34181717143651014,1.0,0.4575203681663398,0.6236933797909407,0.15599343185550082,-0.6,0.3064935064935065,0.14249858713832805,0.6117343195958883,0.7193894412407571,0.28310029804162984,0.2614539188468019,0.2400582160753887,0.5746992461399546,0.1957686207514042,0.5,0.4115346614141581,0.01280144024863558,-0.046153846153846156,0.28250325364253626,0.05263134549387631,0.00909090909090909,0.5489353390121048,0.33516110886639794,-0.2867132867132867,0.41826443881448655,0.35373476408342996,-0.1907466988956127,0.29120879120879123,0.32051282051282054,0.35714285714285715,0.16471627812528486,0.3180939556749188,0.2296503450120516,0.2985813109312903,0.46190831769824003,0.19642994285262752,0.5545593462901034,-0.4725274725274725,0.3269754687788909,-0.0009168115267080153,0.3473516431470564,0.33057559848559254,-0.07016929934876671,0.18131974271587276,-0.3362637362637363,0.2932111615138219,0.4404230318859327,0.4369803879720842,-0.21573578109955469,0.5208853777748195,0.39358743842201965,-0.1507460748228983,0.09552266195336932
IL7,0.49998539188102076,0.2205128205128205,0.4575203681663398,1.0,0.24811235276351556,0.5842105263157895,0.1,-0.08258807588075881,0.1540504544408371,0.6149109538690488,0.5265783161028058,0.23913836045243617,0.15941774314884566,0.25101505497123616,0.5424000602234675,0.21543632620478131,0.5,0.24725417559963286,0.017485244263896894,0.5235294117647059,0.302040308309317,0.05348206836759029,-0.005494505494505495,0.3869325786460649,0.2652190143000149,0.4340659340659341,0.38281960519590336,0.31731903716787474,-0.1843601284457386,0.45054945054945056,0.14520746650379815,-0.08333333333333333,0.27871393864473265,0.22993485981767148,0.16936164147185076,0.18270913578391407,0.4242892550217874,0.13688549900061575,0.48833198659950006,0.31176470588235294,0.2386232796851045,0.02714561467266581,0.2708689623923775,0.12358876673846866,0.006959017617339078,0.2272892115715323,0.5764705882352941,0.29432386003567834,0.40747201983626286,0.2701712704811235,-0.05910823993960519,0.41686614680937895,0.332441335203575,0.11853138142671851,-0.11442483308461077
IL27,0.9090909090909091,0.425891181988743,0.6236933797909407,0.24811235276351556,1.0,0.0,0.0,0.3600120809423135,0.09645909645909646,0.6850026760002379,0.8713794163063225,0.10604245809630475,0.7285412262156448,0.13334340078526125,0.6943152606551531,0.13953488372093023,0.0,0.7853457172342622,0.655765442094689,0.0,0.8704433497536945,0.3430621128294818,0.0,0.3652700943104257,0.49866102889358704,0.0,0.6460283902144367,0.23594911745153485,-0.02131197974350486,0.0,0.4813248766737139,0.0,0.3395003014355874,0.09090909090909091,0.7371703687493161,0.15487179487179487,0.7401612138454243,0.6449612403100775,0.7728937728937729,0.0,0.48717948717948717,0.43690312821241567,0.8064755678562066,0.20521494009866104,0.524987676501148,-0.16814658210007047,0.0,0.6,0.05056759545923633,0.11498340445708867,0.15532408013039178,0.0945065013448352,0.8225510923185342,-0.07864344770089497,0.06025824981311623
IFNA2,-0.10427350427350428,0.0,0.15599343185550082,0.5842105263157895,0.0,1.0,-0.2857142857142857,0.002197802197802198,0.42633053221288514,0.19047619047619047,0.0,0.033893557422969185,0.09387351778656126,0.11042735042735043,0.7904338153503894,0.041176470588235294,1.0,0.4315270935960591,0.6596774193548387,0.20294117647058824,-0.36764705882352944,0.0,-0.6263736263736264,0.4555202976255608,0.6305576776165012,0.5054945054945055,0.5630700778642936,0.5846774193548387,0.0,0.6967032967032967,0.0,-0.23333333333333334,0.0,0.0,0.0,0.3146853146853147,0.5747008547008547,0.4217914438502674,0.0,0.6323529411764706,0.0,0.48956851588430533,0.37043478260869567,0.0945054945054945,-0.13333333333333333,0.7823529411764706,0.8411764705882353,0.5095307917888563,0.458019131109375,0.0,-0.3607142857142857,0.07441348973607038,0.1282991202346041,0.49472329472329474,0.0
FLT3LG,0.5714285714285714,0.0,-0.6,0.1,0.0,-0.2857142857142857,1.0,0.0,0.4909090909090909,-0.3142857142857143,0.0,0.24395604395604395,0.05357142857142857,0.17857142857142858,-0.7714285714285715,0.0,0.0,0.03571428571428571,-0.10714285714285714,0.0,0.7,0.0,0.0,-0.42857142857142855,-0.12637362637362637,0.0,-0.4,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.5428571428571428,0.4153846153846154,0.0,0.0,0.0,0.08181818181818182,0.7,0.0,-0.6,0.0,0.0,0.5,0.3892857142857143,0.0,0.0,-0.12727272727272726,0.4125874125874126,0.45604395604395603,0.0
CXCL12,0.16519087872067537,0.07825091575091575,0.3064935064935065,-0.08258807588075881,0.3600120809423135,0.002197802197802198,0.0,1.0,0.5128205128205128,0.24661929936747354,0.24866399471015868,0.1470129689373056,0.3056257175660161,0.13386613386613386,0.33903225125649816,0.03176277543366151,0.0,0.3814516129032258,0.08400278778732756,0.041758241758241756,0.291866028708134,0.0877574805061934,-0.027972027972027972,0.2451553920617925,0.24367388252195776,-0.45454545454545453,0.3117619529608951,-0.008532822525036418,-0.10263375841597056,0.36363636363636365,0.22788868954460434,-0.16666666666666666,0.06431476002292051,0.7478324284903979,0.2896807040110369,0.24580698481020827,0.3923951048951049,0.33918970814132104,0.17518328044643833,0.05934065934065934,0.1360056349160417,-0.08617611904593835,0.1324988566803347,0.577121425222691,-0.041292023131367483,-0.08503482804160589,0.002197802197802198,-0.21981424148606812,0.1424041075203866,-0.061794943039733256,-0.12083126342501486,0.11789226223366642,0.2804309969691562,0.02662606745357706,0.5841055958328776
CCL4,0.31271565536620455,0.2180161943319838,0.14249858713832805,0.1540504544408371,0.09645909645909646,0.42633053221288514,0.4909090909090909,0.5128205128205128,1.0,0.16563540194479215,0.1079514416547306,0.31851173130003724,0.06108214878865868,0.34382204081934603,0.1757167236062818,0.05251897291281238,0.4,0.19181314897166668,0.38616776650506024,0.27058823529411763,0.30294128570375245,0.2215586054751605,-0.7582417582417582,0.03033394641506431,0.3569067038679114,0.4835164835164835,0.10314193576621114,0.36758250568660206,-0.08568567660742502,0.6747252747252748,0.24878048780487805,-0.18333333333333332,0.19811425919511055,0.4726426786325218,0.02727482321370254,-0.04314344839606774,0.29654041890841476,0.5348335255855806,0.09330494161861022,0.7647058823529411,0.1254133944861515,0.39700949311297246,0.3266569670750788,0.3968898870143252,-0.4433554957576805,0.14761304055767513,0.7794117647058824,0.3031385488559266,0.18242221116975002,0.15282893399257946,0.06334222601474751,0.24821271815090445,0.29878332407369074,0.21284048662517718,0.8059731971642884
IL5,0.4668758614550637,0.3895161290322581,0.6117343195958883,0.6149109538690488,0.6850026760002379,0.19047619047619047,-0.3142857142857143,0.24661929936747354,0.16563540194479215,1.0,0.7428237692892564,0.5354719911912273,0.12829743808004668,0.20812242465903544,0.7843087538528737,0.3090081212817289,0.5,0.2072366808170718,-0.1861989404539779,0.0,0.32805920837243463,0.21559712136351722,0.0,0.43003009858734753,0.38596715783302105,0.0,0.5896592441919314,0.4600740388022837,0.1936076418568331,0.0,0.2867147566384015,0.0,0.44443960673891514,0.2881012902707889,0.3834103462167837,0.29568942211020444,0.4862404672074856,0.16166145073369007,0.5014814592396188,0.0,0.3035631027914141,0.08254591837193269,0.26124591436782707,0.26169438912419474,0.3852013952191507,0.3193764632638687,0.0,0.2924754278508009,0.6049269875340682,0.40303853430185643,0.5771127825032724,0.3777360306392216,0.644527071228895,0.048979903864240774,0.13600244498777506
